1000,13137,0.000040
2000,28754,0.000072
5000,86602,0.000210
10000,184454,0.000461
100000,2384260,0.005964
1000000,23186725,0.071608
10000000,281252328,0.859128
1000,13137,0.000038
2000,28754,0.000071
5000,86602,0.000213
10000,184454,0.000460
100000,2384260,0.005948
1000000,23186725,0.071220
10000000,281252328,0.879309
1000,13137,0.000058
2000,28754,0.000080
5000,86602,0.000216
10000,184454,0.000460
100000,2384260,0.005787
1000000,23186725,0.071339
10000000,281252328,0.857887
