N,S,Comparisons,Time
2000,74,43290,0.000143
2000,75,43290,0.000128
2000,76,43290,9.86667E-05
2000,77,43290,0.000128333
2000,78,43290,0.000103333
2000,79,43290,0.000119667
2000,80,43290,0.000105
2000,81,43290,0.000119
2000,82,43290,0.000101333
2000,83,43290,0.000108
2000,84,43290,0.000125667
2000,85,43290,0.000124333
2000,86,43290,0.000138333
2000,87,43290,0.000111333
2000,88,43290,0.000122333
2000,89,43290,9.56667E-05
2000,90,43290,0.000110667
2000,91,43290,9.43333E-05
2000,92,43290,0.000112333
2000,93,43290,0.000125333
2000,94,43290,0.000126667
2000,95,43290,0.000114667
2000,96,43290,0.000137
2000,97,43290,0.000113
2000,98,43290,0.000128667
2000,99,43290,0.000123667
2000,100,43290,0.000110667
2000,101,43290,0.000112
2000,102,43290,0.000117667
2000,103,43290,0.000113333
2000,104,43290,0.000126667
2000,105,43290,0.000103667
2000,106,43290,0.000118
2000,107,43290,0.000110333
2000,108,43290,0.000125667
2000,109,43290,0.000110333
2000,110,43290,0.000113667
2000,111,43290,0.000124667
2000,112,43290,9.76667E-05
2000,113,43290,0.00012
2000,114,43290,0.000121
2000,115,43290,0.000107667
2000,116,43290,0.000112667
2000,117,43290,0.000115
2000,118,43290,0.000110667
2000,119,43290,0.000125333
2000,120,43290,0.000109333
2000,121,43290,9.23333E-05
2000,122,43290,0.000123
2000,123,43290,0.000113667
2000,124,43290,0.000097
2000,125,72989,0.000139667
2000,126,72989,0.000128333
2000,127,72989,0.000114667
2000,128,72989,0.000121
5000,1,55244,0.000570667
5000,2,55244,0.000396333
5000,3,55244,0.000425667
5000,4,55296,0.000374
5000,5,55895,0.000323
5000,6,55895,0.000360333
5000,7,55895,0.000319333
5000,8,55895,0.000319333
5000,9,56459,0.000345333
5000,10,58790,0.000312
5000,11,58790,0.00031
5000,12,58790,0.000368667
5000,13,58790,0.000323333
5000,14,58790,0.000348
5000,15,58790,0.000333667
5000,16,58790,0.000326667
5000,17,58790,0.000311667
5000,18,58790,0.000334667
5000,19,62490,0.000277333
5000,20,67043,0.000290667
5000,21,67043,0.000328
5000,22,67043,0.000299667
5000,23,67043,0.000288333
5000,24,67043,0.000276667
5000,25,67043,0.000268333
5000,26,67043,0.000258
5000,27,67043,0.000254667
5000,28,67043,0.000266333
